Task ID,Storage Interval,Operator ID,Message Length (secs),Start Time,Stop Time,Threshold Method,Duration,Station Name,All Single Channels,Location (lat),Location (lon),Antenna,Polarization
836,15 secs,HP-PC,15,8/12/2016 10:31,8/12/2016 10:36,Noise Riding 10 dB,Fixed: 5 mins,AR1 PATHUM THANI,No,14.070668,100.63418,Vertical Ref,Vertical
,,,,,,,,,,,,,
Band #,Start Frequency (MHz),Stop Frequency (MHz),Bandwidth (kHz),,,,,,,,,,
1,136.0000,174,12.5,,,,,,,,,,
,,,,,,,,,,,,,
Channel No.,Frequency (MHz),Maximum Field Strength (dBuV/m),Average Field Strength (dBuV/m),,,,,,,,,,
1,136.0000,0,0,,,,,,,,,,
2,136.0125,0,0,,,,,,,,,,
3,136.0250,0,0,,,,,,,,,,
4,136.0375,0,0,,,,,,,,,,
5,136.0500,0,0,,,,,,,,,,
6,136.0625,0,0,,,,,,,,,,
7,136.0750,0,0,,,,,,,,,,
8,136.0875,0,0,,,,,,,,,,
9,136.1000,0,0,,,,,,,,,,
10,136.1125,0,0,,,,,,,,,,
11,136.1250,0,0,,,,,,,,,,
12,136.1375,0,0,,,,,,,,,,
13,136.1500,0,0,,,,,,,,,,
14,136.1625,0,0,,,,,,,,,,
15,136.1750,0,0,,,,,,,,,,
16,136.1875,0,0,,,,,,,,,,
17,136.2000,0,0,,,,,,,,,,
18,136.2125,0,0,,,,,,,,,,
19,136.2250,0,0,,,,,,,,,,
20,136.2375,0,0,,,,,,,,,,
21,136.2500,0,0,,,,,,,,,,
22,136.2625,0,0,,,,,,,,,,
23,136.2750,0,0,,,,,,,,,,
24,136.2875,0,0,,,,,,,,,,
25,136.3000,0,0,,,,,,,,,,
26,136.3125,0,0,,,,,,,,,,
27,136.3250,0,0,,,,,,,,,,
28,136.3375,0,0,,,,,,,,,,
29,136.3500,0,0,,,,,,,,,,
30,136.3625,0,0,,,,,,,,,,
31,136.3750,0,0,,,,,,,,,,
32,136.3875,0,0,,,,,,,,,,
33,136.4000,0,0,,,,,,,,,,
34,136.4125,0,0,,,,,,,,,,
35,136.4250,0,0,,,,,,,,,,
36,136.4375,0,0,,,,,,,,,,
37,136.4500,0,0,,,,,,,,,,
38,136.4625,0,0,,,,,,,,,,
39,136.4750,0,0,,,,,,,,,,
40,136.4875,0,0,,,,,,,,,,
41,136.5000,0,0,,,,,,,,,,
42,136.5125,0,0,,,,,,,,,,
43,136.5250,0,0,,,,,,,,,,
44,136.5375,0,0,,,,,,,,,,
45,136.5500,0,0,,,,,,,,,,
46,136.5625,0,0,,,,,,,,,,
47,136.5750,0,0,,,,,,,,,,
48,136.5875,0,0,,,,,,,,,,
49,136.6000,0,0,,,,,,,,,,
50,136.6125,0,0,,,,,,,,,,
51,136.6250,0,0,,,,,,,,,,
52,136.6375,0,0,,,,,,,,,,
53,136.6500,0,0,,,,,,,,,,
54,136.6625,0,0,,,,,,,,,,
55,136.6750,0,0,,,,,,,,,,
56,136.6875,0,0,,,,,,,,,,
57,136.7000,0,0,,,,,,,,,,
58,136.7125,0,0,,,,,,,,,,
59,136.7250,0,0,,,,,,,,,,
60,136.7375,0,0,,,,,,,,,,
61,136.7500,0,0,,,,,,,,,,
62,136.7625,0,0,,,,,,,,,,
63,136.7750,0,0,,,,,,,,,,
64,136.7875,0,0,,,,,,,,,,
65,136.8000,0,0,,,,,,,,,,
66,136.8125,0,0,,,,,,,,,,
67,136.8250,0,0,,,,,,,,,,
68,136.8375,0,0,,,,,,,,,,
69,136.8500,0,0,,,,,,,,,,
70,136.8625,0,0,,,,,,,,,,
71,136.8750,0,0,,,,,,,,,,
72,136.8875,0,0,,,,,,,,,,
73,136.9000,0,0,,,,,,,,,,
74,136.9125,0,0,,,,,,,,,,
75,136.9250,0,0,,,,,,,,,,
76,136.9375,0,0,,,,,,,,,,
77,136.9500,0,0,,,,,,,,,,
78,136.9625,0,0,,,,,,,,,,
79,136.9750,41,30,,,,,,,,,,
80,136.9875,0,0,,,,,,,,,,
81,137.0000,0,0,,,,,,,,,,
82,137.0125,0,0,,,,,,,,,,
83,137.0250,0,0,,,,,,,,,,
84,137.0375,0,0,,,,,,,,,,
85,137.0500,0,0,,,,,,,,,,
86,137.0625,0,0,,,,,,,,,,
87,137.0750,0,0,,,,,,,,,,
88,137.0875,0,0,,,,,,,,,,
89,137.1000,0,0,,,,,,,,,,
90,137.1125,0,0,,,,,,,,,,
91,137.1250,0,0,,,,,,,,,,
92,137.1375,0,0,,,,,,,,,,
93,137.1500,0,0,,,,,,,,,,
94,137.1625,0,0,,,,,,,,,,
95,137.1750,0,0,,,,,,,,,,
96,137.1875,0,0,,,,,,,,,,
97,137.2000,0,0,,,,,,,,,,
98,137.2125,0,0,,,,,,,,,,
99,137.2250,0,0,,,,,,,,,,
100,137.2375,0,0,,,,,,,,,,
101,137.2500,0,0,,,,,,,,,,
102,137.2625,0,0,,,,,,,,,,
103,137.2750,0,0,,,,,,,,,,
104,137.2875,0,0,,,,,,,,,,
105,137.3000,0,0,,,,,,,,,,
106,137.3125,0,0,,,,,,,,,,
107,137.3250,0,0,,,,,,,,,,
108,137.3375,0,0,,,,,,,,,,
109,137.3500,0,0,,,,,,,,,,
110,137.3625,0,0,,,,,,,,,,
111,137.3750,0,0,,,,,,,,,,
112,137.3875,0,0,,,,,,,,,,
113,137.4000,0,0,,,,,,,,,,
114,137.4125,0,0,,,,,,,,,,
115,137.4250,0,0,,,,,,,,,,
116,137.4375,0,0,,,,,,,,,,
117,137.4500,21,21,,,,,,,,,,
118,137.4625,0,0,,,,,,,,,,
119,137.4750,0,0,,,,,,,,,,
120,137.4875,0,0,,,,,,,,,,
121,137.5000,0,0,,,,,,,,,,
122,137.5125,0,0,,,,,,,,,,
123,137.5250,0,0,,,,,,,,,,
124,137.5375,0,0,,,,,,,,,,
125,137.5500,0,0,,,,,,,,,,
126,137.5625,0,0,,,,,,,,,,
127,137.5750,0,0,,,,,,,,,,
128,137.5875,0,0,,,,,,,,,,
129,137.6000,0,0,,,,,,,,,,
130,137.6125,0,0,,,,,,,,,,
131,137.6250,0,0,,,,,,,,,,
132,137.6375,0,0,,,,,,,,,,
133,137.6500,0,0,,,,,,,,,,
134,137.6625,0,0,,,,,,,,,,
135,137.6750,0,0,,,,,,,,,,
